Weather_Challenge_p2,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
172,Coihaique,CL,46.4,broken clouds,-45.58,-72.07,Diego De Almagro Coyhaique
175,Khani,GE,66.2,scattered clouds,41.96,42.96,
176,Khalkhal,IR,47.16,clear sky,37.62,48.53,Khalkhal Tourist Hotel
177,Iquique,CL,64.4,overcast clouds,-20.22,-70.14,Backpacker`s Hostel Iquique
180,Ukiah,US,60.01,clear sky,39.15,-123.21,Hampton Inn Ukiah
183,Briancon,FR,44.01,broken clouds,44.9,6.65,Auberge de la Paix
186,Batsfjord,NO,28.4,scattered clouds,70.63,29.72,Adventure Apartements
189,Balakovo,RU,36.39,scattered clouds,52.02,47.82,Izumrud
190,Nalut,LY,55.31,overcast clouds,31.86,10.98,A rest and prayer for women and men
194,Castro,CL,51.8,scattered clouds,-42.48,-73.76,Hotel Esmeralda
195,Puertollano,ES,43.0,scattered clouds,38.69,-4.11,Hotel Puertollano
196,Altus,US,62.6,clear sky,34.64,-99.33,Holiday Inn Express & Suites Altus
198,Okha,RU,27.5,few clouds,53.59,142.95,Empire Hotel
199,Dharchula,IN,54.86,overcast clouds,29.85,80.53,Mahara Hotel
203,Tibati,CM,69.87,scattered clouds,6.47,12.63,Tibati Hotel
204,Charleston,US,48.99,fog,32.79,-79.94,Hampton Inn Charleston-Historic District
210,Mantena,BR,65.19,scattered clouds,-18.78,-40.98,Hotel Estrela De Minas
211,Waipawa,NZ,54.0,broken clouds,-39.94,176.59,T A Commercial Hotel
212,Sitka,US,34.0,broken clouds,37.17,-99.65,
220,Lata,IN,36.59,overcast clouds,30.78,78.62,"The Goat Village, Dayara Bugyal"
221,Eten,PE,64.4,broken clouds,-6.91,-79.86,Hospedaje Sol Radiante
222,Viamao,BR,66.99,broken clouds,-30.08,-51.02,OM B&B + Spa
223,Ketchikan,US,46.4,clear sky,55.34,-131.65,Snows Cove Lodge
225,Aimores,BR,68.49,scattered clouds,-19.5,-41.06,Villares Hotel
230,Korgen,NO,26.6,broken clouds,66.08,13.83,Korgen Camping AS
232,Beipiao,CN,52.57,clear sky,41.8,120.76,Beipiao Hotel
234,Vao,EE,39.34,overcast clouds,59.1,26.19,
235,Saint-Louis,SN,69.8,overcast clouds,16.03,-16.5,Auberge de Jeunesse du Sud
237,Mahon,IE,41.0,scattered clouds,51.89,-8.4,The Montenotte Hotel
240,Payson,US,44.01,broken clouds,40.04,-111.73,Quality Inn Payson I-15
242,Rio Grande,BR,66.0,broken clouds,-32.03,-52.1,Swan Express Rio Grande
243,Ilulissat,GL,42.8,overcast clouds,69.22,-51.1,Hotel Arctic
245,Knysna,ZA,66.2,scattered clouds,-34.04,23.05,Protea Hotel by Marriott Knysna Quays
246,Souillac,FR,42.8,overcast clouds,45.6,-0.6,Jolysable
247,Glowno,PL,41.0,fog,51.96,19.72,MR Motors. Rożniata M.
248,Minudasht,IR,60.8,clear sky,37.23,55.37,هتل قصر
254,Saint-Pierre,FR,41.0,overcast clouds,48.95,4.24,Auberge des Moissons
255,Anadyr,RU,35.6,broken clouds,64.73,177.51,"Гостиница ""Анадырь"""
256,Waitati,NZ,50.0,overcast clouds,-45.75,170.57,Arden Country House Dunedin
257,Yuzhno-Kurilsk,RU,47.62,scattered clouds,44.03,145.86,Guesthouse Berloga
259,Novi Sanzhary,UA,45.07,broken clouds,49.33,34.31,Міні-готель Стожари
264,Povenets,RU,35.28,overcast clouds,62.85,34.83,Eko Otel' Bol'shaya Medveditsa
265,Anchorage,US,36.0,broken clouds,61.22,-149.89,Hilton Anchorage
266,Atlantis,ZA,66.0,overcast clouds,-33.57,18.5,Atlantis
268,Sistranda,NO,24.01,few clouds,63.73,8.83,Hotell Frøya
269,Praia Da Vitoria,PT,57.2,few clouds,38.73,-27.07,Hotel Branco I
270,Hyeres,FR,55.99,overcast clouds,43.12,6.14,Hotel ibis budget Hyères Centre Ville
271,Pisco,PE,63.0,smoke,-13.71,-76.2,Hostal San Isidro Oficial
273,Saint Anthony,US,35.6,scattered clouds,43.97,-111.68,Hunter's Escape
274,Abu Samrah,SY,64.99,broken clouds,35.3,37.18,
276,Westport,US,48.99,broken clouds,41.14,-73.36,The Westport Inn
277,Campbell River,CA,44.6,overcast clouds,50.02,-125.24,Ramada by Wyndham Campbell River
279,Iranshahr,IR,68.0,clear sky,27.21,60.69,خوابگاه ابوذر
281,Destin,US,55.99,clear sky,30.39,-86.5,Inn On Destin Harbor
284,Ballina,IE,43.0,scattered clouds,54.11,-9.15,Ice House Hotel
285,Raudeberg,NO,30.2,few clouds,61.99,5.14,Nordre Silda.
286,Bonavista,CA,34.0,clear sky,48.65,-53.11,Abbott's Bed & Breakfast
290,Polson,US,21.0,clear sky,47.69,-114.16,Americas Best Value Port Polson Inn
291,Abinsk,RU,62.6,clear sky,44.87,38.16,Hotel Evropa
294,Kankaanpaa,FI,28.99,overcast clouds,61.8,22.42,Finlandia Hotel Lumiainen
298,Minas,UY,50.77,clear sky,-34.38,-55.24,Hotel Minas
300,Lima,PE,64.4,overcast clouds,-12.06,-77.04,Meliá Lima
301,Teterow,DE,36.0,fog,53.77,12.58,Forsthof Niendorf
303,Walvis Bay,,61.0,broken clouds,-22.95,14.51,Oyster Box Guesthouse
305,Nantucket,US,46.4,few clouds,41.28,-70.1,Jared Coffin House
307,Nanortalik,GL,31.24,light snow,60.14,-45.24,"Hotel Tupilak, Nanortalik"
309,Luderitz,,64.4,clear sky,-26.65,15.16,LÜDERITZ NEST HOTEL
314,Rocha,UY,51.12,clear sky,-34.48,-54.34,Beleza Pura B&B
315,Mudanya,TR,66.2,broken clouds,40.38,28.88,Doga-Lya Hotel
318,Portland,US,45.0,overcast clouds,43.66,-70.25,Hampton Inn Portland Downtown - Waterfront
320,Arys,KZ,46.4,clear sky,42.43,68.8,"Gostinitsa ""Madani"""
323,Selikhino,RU,30.43,light snow,50.37,137.51,Chastnyy Dom
326,Qiqihar,CN,37.63,clear sky,47.35,123.91,Ji Hotel Qiqihar Bu Kui Street
327,San Patricio,PY,65.89,few clouds,-26.98,-56.83,Posada Doña Antonia
328,Mercedes,UY,62.01,clear sky,-33.25,-58.03,Gran Hotel Brisas del Hum
333,Berlevag,NO,26.6,scattered clouds,70.86,29.09,Kvitbrakka
334,Esperance,AU,62.6,overcast clouds,-33.86,121.89,Best Western Hospitality Inn Esperance
337,Brawley,US,69.01,clear sky,32.98,-115.53,Brawley Inn Hotel & Conference Center
340,Treuchtlingen,DE,37.0,overcast clouds,48.96,10.91,Gasthof Zum Goldenen Lamm
342,Caluquembe,AO,63.5,broken clouds,-13.78,14.68,
345,Sisimiut,GL,33.06,overcast clouds,66.94,-53.67,Hotel Sisimiut
346,Nenjiang,CN,30.45,few clouds,49.17,125.23,Xilong Hotel
352,Harer,US,46.0,broken clouds,42.19,-111.17,
356,Oranjemund,ZA,63.91,clear sky,-28.55,16.43,Sperrgebiet Guest House
357,Kushikino,JP,69.8,scattered clouds,31.72,130.27,民宿田尻
358,Medeiros Neto,BR,69.15,few clouds,-17.37,-40.22,Pousada Visgueira
359,Wasilla,US,36.0,overcast clouds,61.58,-149.44,Alaska's Select Inn Wasilla
361,Brownwood,US,62.6,clear sky,31.71,-98.99,La Quinta Inn & Suites by Wyndham Brownwood
362,Krasnyye Tkachi,RU,42.8,mist,57.49,39.76,Парк-отель Ярославль
363,Vodnyy,RU,26.11,snow,63.51,53.41,
364,Negotin,RS,47.7,broken clouds,44.23,22.53,Хотел Београд
365,Vila Franca Do Campo,PT,61.0,few clouds,37.72,-25.43,Pestana Bahia Praia
366,Goba,ET,56.88,overcast clouds,7.01,39.97,Goba Wabe Shebelle Hotel
367,Brae,GB,41.0,few clouds,60.4,-1.35,Busta House Hotel
368,Vardo,US,43.0,clear sky,39.62,-77.74,Holiday Inn Express & Suites Hagerstown
371,Matagami,NG,59.0,overcast clouds,9.67,8.4,Hotel
373,Dolores,UY,62.01,clear sky,-33.53,-58.22,Hostal Del Espinillo
374,San Pedro,AR,62.01,clear sky,-33.68,-59.66,Posada de los Suenos
375,Bar Harbor,US,45.0,overcast clouds,44.39,-68.2,Atlantic Oceanside Hotel & Event Center
377,Vostok,RU,34.83,snow,46.45,135.83,
378,Pargolovo,RU,43.0,overcast clouds,60.08,30.28,Hotel Shuvaloff
379,Columbus,US,48.2,clear sky,32.46,-84.99,Columbus Marriott
380,Saratoga Springs,US,41.0,overcast clouds,43.08,-73.79,Holiday Inn Saratoga Springs
381,Kharan,PK,65.91,overcast clouds,28.58,65.42,Ghani Hasrat House
382,Narsaq,GL,32.0,light snow,60.91,-46.05,Hotel Narsaq
383,Playas,EC,69.93,overcast clouds,-2.64,-80.39,Hostal Promenade
384,Muli,CN,62.82,overcast clouds,28.08,109.56,
385,Taoudenni,ML,57.24,clear sky,22.68,-3.98,
386,Ancud,CL,51.8,broken clouds,-41.87,-73.83,HOTEL ANCUD DON LUCAS
387,Liverpool,GB,46.99,broken clouds,53.41,-2.98,Premier Inn Liverpool City Centre (Moorfields) hotel
388,Gazojak,TM,46.54,clear sky,41.19,61.4,
389,Qingquan,CN,56.93,broken clouds,34.7,106.0,
392,Pacific Grove,US,55.99,mist,36.62,-121.92,Lovers Point Inn
393,Mnogovershinnyy,RU,21.72,broken clouds,53.94,139.92,Kvartsevaya Sopka
398,Jumla,NP,61.99,few clouds,29.28,82.18,Famous bhutuwa corner
399,Vila,IT,46.0,broken clouds,45.18,8.4,Parcheggio camper Coniolo
402,Faya,SA,68.0,clear sky,18.39,42.45,مقبرة ال مجمل
403,Yzeure,FR,35.01,overcast clouds,46.57,3.36,MERCURE MOULINS CENTRE - HOTEL DE PARIS
404,Jalu,LY,69.66,broken clouds,29.03,21.55,Jalu Hotel
410,Tiznit,MA,50.02,clear sky,29.7,-9.73,Hotel Café Restaurant Assaka
412,Isakly,RU,32.45,scattered clouds,54.13,51.53,Gostinitsa
417,Riom,FR,35.6,broken clouds,45.89,3.11,ACE Hôtel - Riom
418,Gaspe,CA,36.0,overcast clouds,48.83,-64.48,Rodeway Inn
419,Trelew,AR,50.16,overcast clouds,-43.25,-65.31,Hotel Touring Club
421,Beatrice,US,28.99,overcast clouds,40.27,-96.75,Victorian Inn Beatrice
422,Sobolevo,RU,43.43,overcast clouds,54.43,31.9,
424,Greenville,US,48.2,clear sky,34.85,-82.4,Courtyard by Marriott Greenville Downtown
426,Petropavlovsk-Kamchatskiy,RU,32.0,broken clouds,53.05,158.65,"ООО ""Гостиничный комплекс ""Петропавловск"""
427,Beaver Dam,US,27.0,light rain,43.46,-88.84,"AmericInn by Wyndham, Beaver Dam"
430,Nuuk,GL,35.6,overcast clouds,64.17,-51.74,Vandrehuset
433,Baruun-Urt,MN,28.99,broken clouds,46.68,113.28,Ахмадын амралт сувилал
434,Cherkessk,RU,56.97,few clouds,44.23,42.06,Hotel RUM
439,Dukat,AL,64.0,overcast clouds,40.25,19.57,Llogora Tourist Village
440,Scarborough,GB,43.0,moderate rain,54.28,-0.41,Ambassador
443,Sechura,PE,63.88,overcast clouds,-5.56,-80.82,Hospedaje Costa Bella
444,Russell,US,33.8,overcast clouds,38.9,-98.86,Quality Inn
446,Zhezkazgan,KZ,26.6,broken clouds,47.8,67.71,Kvartiry Posutochno.
449,Derzhavinsk,KZ,24.01,broken clouds,51.1,66.31,Ooo.khim Baza
450,Rafaela,AR,64.99,clear sky,-31.25,-61.49,Parra Hotel & Suites
452,Sorland,NO,33.8,clear sky,67.67,12.69,Sjybrygga fiskecamp
453,Nara,JP,68.0,few clouds,34.68,135.8,Guesthouse Nara Komachi
454,Poshekhonye,RU,44.58,overcast clouds,58.5,39.12,Chudnoy Dvor
455,Laredo,US,66.2,clear sky,27.51,-99.51,La Quinta Inn by Wyndham Laredo I-35
461,Constitucion,MX,57.99,few clouds,23.99,-104.67,Hotel Posada San Agustin
462,Veraval,FR,44.6,light rain,49.65,0.71,Le Manoir aux Vaches
467,Bethel,US,41.0,overcast clouds,60.79,-161.76,Long House Hotel Bethel
472,Houma,CN,65.1,clear sky,35.63,111.36,IU Hotel Linfen Houma Time Square
474,Seoul,KR,60.8,broken clouds,37.57,126.98,Lotte Hotel Seoul
476,San Lawrenz,MT,66.2,few clouds,36.06,14.2,San Andrea Hotel
477,Melbu,NO,28.4,clear sky,68.5,14.83,Melbu Hotel
482,San Antonio,CL,51.69,scattered clouds,-33.58,-71.61,Hotel Mellati
485,West Lorne,CA,34.0,light snow,42.6,-81.61,
486,Alzey,DE,39.0,mist,49.75,8.12,Dorint Hotel Alzey/Worms
487,Camacha,PT,66.2,scattered clouds,33.08,-16.33,Hotel Porto Santo & Spa
488,Onega,RU,31.91,overcast clouds,63.91,38.09,Lunny Kot Guest House
489,Poum,MK,46.4,overcast clouds,41.28,20.71,Dolno Tateši
490,Praia,BR,69.8,few clouds,-20.25,-43.81,Hotel Pousada de Minas
496,Radchenko,RU,45.99,overcast clouds,56.68,36.37,Ostrov Park-Botel
498,Estelle,FR,48.0,broken clouds,43.97,3.47,Gîte du Moulin
499,Stokmarknes,NO,28.4,clear sky,68.56,14.91,Vesterålen Kysthotell
500,Sinop,TR,59.0,scattered clouds,42.03,35.15,Zinos Hotel
501,Gamba,CN,36.81,clear sky,28.28,88.52,Post Bureau Hostel
505,Vytegra,RU,38.84,overcast clouds,61.01,36.45,Wardenclyffe Volgo&Balt
506,Samarkand,UZ,42.8,few clouds,39.65,66.98,Ideal Hotel
507,Hammerfest,NO,28.4,few clouds,70.66,23.68,Skytterhuset
513,Sergeyevka,KZ,22.26,overcast clouds,53.88,67.42,
515,Guerrero Negro,MX,63.41,scattered clouds,27.97,-114.04,The Halfway Inn
516,San Carlos De Bariloche,AR,55.4,broken clouds,-41.13,-71.31,Hotel Patagonia
518,Lazaro Cardenas,MX,62.01,overcast clouds,28.39,-105.62,Hotel Los Naranjos
519,Atyrau,KZ,44.6,clear sky,47.1,51.92,River Palace Hotel
521,Menongue,AO,65.46,overcast clouds,-14.66,17.68,Ritz Lauca
522,Redlands,US,61.0,clear sky,34.06,-117.19,Dynasty Suites Redlands
523,Syktyvkar,RU,32.0,light rain,61.67,50.84,Palace Hotel
525,Kitimat,CA,33.01,broken clouds,54.02,-128.69,Kingfish Westcoast Adventures Ltd. Kitimat Estuary Lodge B&B
528,Ikryanoye,RU,53.6,broken clouds,46.1,47.74,Hotel Magnolia
531,Belen,US,51.01,clear sky,34.66,-106.78,Baymont by Wyndham Belen NM
533,Pingliang,CN,47.03,broken clouds,35.54,106.68,North Gate Hostel
535,Skibbereen,IE,41.0,scattered clouds,51.55,-9.27,The West Cork Hotel
536,Yinchuan,CN,51.75,overcast clouds,38.48,106.21,Ruisiting Intelligence Hotel
542,Juneau,US,32.0,broken clouds,58.3,-134.42,"Baranof Downtown, BW Signature Collection"
543,Santa Lucia,IT,57.99,thunderstorm with rain,41.98,12.66,B&B Torraccetto
547,Bayan,CN,44.42,clear sky,36.1,102.26,Weimin Hotel
548,Zarand,IR,51.8,clear sky,30.81,56.57,رشک علیا
549,Vestmanna,FO,37.4,light snow,62.16,-7.17,Budget Guesthouse Borgustova
553,Campbeltown,GB,44.6,moderate rain,55.43,-5.61,The Royal Hotel
556,Novikovo,RU,41.11,clear sky,51.15,37.89,
557,Muros,ES,55.0,light intensity drizzle,42.77,-9.06,Apartment Av. Castelao
559,Necochea,AR,55.99,scattered clouds,-38.55,-58.74,dyd -mar Hotel
