Weather_Challenge_p2,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
325,Mankapur,IN,64.42,clear sky,28.32,79.86,Som Pal Bhaban
329,Mahon,IE,42.8,few clouds,51.89,-8.4,The Montenotte Hotel
330,Talcahuano,CL,64.4,overcast clouds,-36.72,-73.12,Hotel Terramar
332,Millinocket,US,30.0,clear sky,45.66,-68.71,Katahdin Inn & Suites
334,Husavik,CA,21.99,light snow,50.56,-96.99,Idle Wheels RV Park
338,Glendive,US,35.6,overcast clouds,47.11,-104.71,Super 8 by Wyndham Glendive
339,Cowra,AU,57.0,clear sky,-33.84,148.69,Cowra Motor Inn
340,Fort Frances,CA,28.0,overcast clouds,48.61,-93.4,LA PLACE RENDEZ-VOUS
341,Amposta,ES,57.2,overcast clouds,40.71,0.58,Hotel Hcc Montsià
342,Pisco,PE,66.2,scattered clouds,-13.71,-76.2,Hostal San Isidro Oficial
345,Evensk,RU,23.52,light snow,61.92,159.24,
348,Gurlan,UZ,39.2,mist,41.84,60.39,
349,Broome,GB,46.0,few clouds,52.47,1.45,Angel House B & B
350,Margate,AU,63.0,few clouds,-43.03,147.26,Villa Howden
351,Hami,CN,30.76,clear sky,42.84,93.51,Post And Telecommunication Hotel
352,Nam Dinh,VN,66.94,clear sky,20.42,106.17,Det Hotel
354,Portland,US,37.0,few clouds,43.66,-70.25,Hampton Inn Portland Downtown - Waterfront
356,Aue,DE,36.0,few clouds,50.59,12.7,Hotel Blauer Engel
357,El Campo,US,62.01,clear sky,29.2,-96.27,"Lonestar Inn, El Campo Texas"
358,Campbell River,CA,50.0,mist,50.02,-125.24,Ramada by Wyndham Campbell River
359,Port Hardy,CA,50.0,light intensity shower rain,50.7,-127.42,Airport Inn
361,Viedma,AR,53.35,scattered clouds,-40.81,-62.99,Hotel casa crespo
366,Basar,IN,69.8,mist,27.98,94.69,
370,Honningsvag,NO,29.73,clear sky,70.98,25.97,Nordkapp Vandrerhjem
371,Goderich,CA,39.0,overcast clouds,43.74,-81.71,Harmony Inn
373,Denizli,TR,41.0,clear sky,37.77,29.09,Busıness Address Hotel & Spa Center- Denizli
375,Wanning,AT,34.0,clear sky,48.64,13.53,Hotel Zur Post
378,Chara,GR,51.8,scattered clouds,39.42,22.43,
380,Talant,FR,35.6,broken clouds,47.34,5.0,Hôtel Restaurant Campanile Dijon Gare
383,Leninsk,RU,41.0,broken clouds,48.69,45.2,"Chalet ""Odyssey"""
388,Orchard Homes,US,46.99,overcast clouds,46.86,-114.05,Broadway Inn Missoula
391,Sholokhovskiy,RU,44.19,clear sky,48.28,41.05,
393,Wanxian,CN,55.04,scattered clouds,30.8,108.39,7Days Inn Chongqing Shiqiaopu
394,Shaoguan,CN,59.5,clear sky,24.81,113.59,Shaohui Hotel
396,Roseburg,US,53.01,overcast clouds,43.22,-123.34,Holiday Inn Express Roseburg
399,Colares,PT,59.0,few clouds,38.8,-9.45,Arribas Sintra Hotel
400,Khorramshahr,IR,64.4,clear sky,30.43,48.18,دفتر نمایندگی شرکت بازاریابان ایرانیان زمینBIZ
401,Taltal,CL,55.0,broken clouds,-25.41,-70.49,Residencial Karime
402,Bustamante,MX,62.15,overcast clouds,26.53,-100.51,Hotel Posada San Miguel
404,Heyang,CN,53.37,overcast clouds,26.1,107.47,
409,Quito,EC,55.4,light intensity drizzle,-0.22,-78.51,Hotel Quito
410,Otofuke,JP,37.4,few clouds,43.02,143.2,帯広リゾートホテル
412,Kruisfontein,ZA,60.71,overcast clouds,-34.0,24.73,Oyster Bay House Rental
413,Zhangye,CN,34.14,clear sky,38.94,100.46,Zhangye Lvzhou Holiday Inn
